System,Planet,Resource Group,Inorganic Score,Organic Score,Habitability Score,Atmosphere Density,Atmosphere Type,Atmosphere Property
Carinae,Carinae III-a,Rothicite,10.5,0.0,0.0,Thin,N2,
Charybdis,Charybdis II,Aluminum,10.0,32.0,0.0,High,O2,
Charybdis,Charybdis VIII-b,Argon,32.0,0.0,1.0,None,None,
Copernicus,Copernicus VIII-a,Chlorine-Xenon,48.0,0.0,1.0,None,None,
Decaran,Decaran VII-b,Vytinium,42.0,0.0,1.0,None,None,
Eridani,Eridani III,Uranium,8.5,26.0,0.0,Standard,O2,
Eridani,Eridani IV-b,Aluminum,34.0,0.0,0.0,None,None,
Eridani,Eridani VIII-c,Chlorine-Caesium,48.0,0.0,1.0,None,None,
Gamma Vulpes,Gamma Vulpes IV-a,Lead-Tungsten,17.0,0.0,0.0,Thin,M,
Huygens,Huygens VII-a,Tasine,16.0,0.0,0.0,Thin,N2,
Katydid,Katydid III,Indicite,25.0,0.0,0.0,Standard,N2,
Kumasi,Kumasi II,Nickel,13.5,26.0,0.0,Standard,O2,
Kumasi,Kumasi VII-b,Copper-Tetrafluorides,48.0,0.0,1.0,None,None,
Schrodinger,Schrodinger II,Aldumite,25.0,0.0,1.0,Standard,CO2,
Schrodinger,Schrodinger VI-a,Lead-Silver,12.0,0.0,0.0,None,None,
Verne,Verne I,Veryl,19.0,0.0,2.0,Extreme,CO2,
Verne,Verne VII-d,Lead-Silver,15.6,0.0,3.0,Thin,M,Corrosive
Zeta Ophiuchi,Zeta Ophiuchi I,Iron,10.0,38.0,0.0,Standard,O2,
Zeta Ophiuchi,Zeta Ophiuchi VI-a,Copper-Gold,22.8,6.0,1.0,Standard,M,
