System,Planet,Resource Group,Inorganic Score,Organic Score,Habitability Score,Atmosphere Density,Atmosphere Type,Atmosphere Property
Alpha Tirna,Tirna VIII-c,Lead-Tungsten,11.5,18.0,0.0,Thin,M,
Altair,Altair IV-b,Chlorine-Xenon,24.0,0.0,0.0,None,None,
Bannoc,Bannoc I,Lead-Silver,7.333,0.0,1.0,Standard,CO2,
Beta Ternion,Beta Ternion II,Nickel,10.556,44.0,0.0,Standard,O2,
Bohr,Bohr I,Lead-Silver,4.0,0.0,0.0,Thin,CO2,
Bohr,Bohr IV,Copper-Gold,15.333,0.0,0.0,Standard,M,
Celebrai,Celebrai I,Iron,17.0,0.0,3.0,Standard,CO2,Corrosive
Charybdis,Charybdis II,Aluminum,10.0,32.0,0.0,High,O2,
Charybdis,Charybdis VIII-b,Argon,32.0,0.0,1.0,None,None,
Cheyenne,Skink,Lead-Silver,10.0,0.0,1.0,Standard,CO2,
Cheyenne,Stellis D,Nickel,32.0,0.0,1.0,None,None,
Copernicus,Copernicus VIII-a,Chlorine-Xenon,48.0,0.0,1.0,None,None,
Denebola,Denebola III-a,Iron,14.0,0.0,3.0,Thin,M,Corrosive
Eridani,Eridani III,Uranium,8.5,26.0,0.0,Standard,O2,
Eridani,Eridani IV-b,Aluminum,34.0,0.0,0.0,None,None,
Eridani,Eridani VIII-c,Chlorine-Caesium,48.0,0.0,1.0,None,None,
Fermi,Fermi I,Lead-Silver,12.0,0.0,1.0,High,CO2,
Fermi,Fermi VII-a,Nickel,16.0,25.0,0.0,Standard,M,
Feynman,Feynman VIII-b,Copper-Gold,48.0,0.0,1.0,None,None,
Foucault,Foucault VI-e,Copper-Gold,48.0,0.0,1.0,None,None,
Freya,Freya III,Lead-Silver,11.143,27.0,0.0,Standard,O2,
Gamma Vulpes,Gamma Vulpes IV-a,Lead-Tungsten,17.0,0.0,0.0,Thin,M,
Hawking,Hawking IV-a,Iron,34.0,0.0,1.0,None,None,
Heinlein,Heinlein IV-b,Lead-Silver,15.0,10.0,0.0,Standard,O2,
Heinlein,Heinlein V-b,Aluminum,34.0,0.0,1.0,None,None,
Hyla,Hyla V,Lead-Silver,37.5,0.0,1.0,None,None,
Indum,Indum IV-d,Copper-Gold,12.222,0.0,3.0,Standard,M,Corrosive
Jaffa,Jaffa I,Lead-Tungsten,12.667,0.0,0.0,Standard,CO2,
Jaffa,Jaffa VII-b,Lead-Tungsten,12.5,0.0,0.0,Thin,M,
Kumasi,Kumasi II,Nickel,13.5,26.0,0.0,Standard,O2,
Kumasi,Kumasi VII-b,Copper-Tetrafluorides,48.0,0.0,1.0,None,None,
Lantana,Lantana IX-b,Lead-Silver,24.0,0.0,1.0,None,None,
Lantana,Lantana VIII-d,Nickel,12.667,0.0,0.0,Thin,CO2,
Leonis,Leonis II,Lead-Silver,10.833,0.0,1.0,Thin,CO2,
Leviathan,Leviathan II,Aluminum,34.0,0.0,1.0,None,None,
Lunara,Gasparis,Copper-Gold,24.0,0.0,1.0,None,None,
Maal,Maal IV,Lead-Silver,7.5,9.0,0.0,Standard,O2,
Marduk,Marduk II,Nickel,14.5,0.0,2.0,Extreme,CO2,
Narion,Grimsey,Uranium,5.0,0.0,0.0,None,None,
Nemeria,Nemeria VI-d,Copper-Gold,48.0,0.0,1.0,None,None,
Nirvana,Nirvana II,Copper-Tetrafluorides,15.714,26.0,0.0,High,O2,
Piazzi,Piazzi II,Nickel,10.0,0.0,0.0,Standard,M,
Procyon A,Procyon III,Copper-Tetrafluorides,16.667,28.0,0.0,High,O2,
Rana,Rana VIII,Copper-Tetrafluorides,48.0,0.0,1.0,None,None,
Rivera,Rivera II,Lead-Silver,12.5,0.0,1.0,None,None,
Schrodinger,Schrodinger VI-a,Lead-Silver,12.0,0.0,0.0,None,None,
Sirius,Sirius II,Chlorine-Xenon,16.667,0.0,0.0,Standard,M,
Tau Ceti,Tau Ceti V,Nickel,13.5,0.0,2.0,Extreme,N2,
Tau Ceti,Tau Ceti VIII-c,Chlorine-Caesium,24.0,0.0,1.0,None,None,
Verne,Verne VII-d,Lead-Silver,15.6,0.0,3.0,Thin,M,Corrosive
Wolf,Pontem,Lead-Silver,12.0,0.0,1.0,None,None,
Xi Ophiuchi,Xi Ophiuchi VII-a,Lead-Silver,13.333,0.0,0.0,Standard,O2,
Zelazny,Zelazny VII-d,Uranium,17.333,0.0,0.0,Thin,M,
Zelazny,Zelazny VIII-c,Nickel,14.286,0.0,0.0,Standard,O2,
Zeta Ophiuchi,Zeta Ophiuchi I,Iron,10.0,38.0,0.0,Standard,O2,
Zeta Ophiuchi,Zeta Ophiuchi VI-a,Copper-Gold,22.8,6.0,1.0,Standard,M,
